"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_01"
"Aetapcus maculatus","Aetapcus maculatus",2337068,FALSE,83,48
"Aethaloperca rogaa","Aethaloperca rogaa",2388085,FALSE,532,232
"Afurcagobius tamarensis","Afurcagobius tamarensis",2378393,FALSE,593,104
"Aioliops brachypterus","Aioliops brachypterus",2385750,FALSE,1,1
"Aioliops novaeguineae","Aioliops novaeguineae",2385749,FALSE,9,8
"Albula glossodonta","Albula glossodonta",5204109,FALSE,14,13
"Alectis ciliaris","Alectis ciliaris",2390537,FALSE,542,320
"Alloclinus holderi","Alloclinus holderi",2389598,FALSE,78,24
"Allomycterus pilatus","Allomycterus pilatus",2406528,FALSE,3000,1058
"Alphestes immaculatus","Alphestes immaculatus",2387800,FALSE,160,77
"Altrichthys azurelineatus","Altrichthys azurelineatus",2398179,FALSE,11,9
"Altrichthys curatus","Altrichthys curatus",2398178,FALSE,1,1
"Aluterus scriptus","Aluterus scriptus",2406721,FALSE,2447,770
"Amanses scopas","Amanses scopas",2406900,FALSE,557,165
"Ambassis jacksoniensis","Ambassis jacksoniensis",2387315,FALSE,92,25
"Amblycirrhitus bimacula","Amblycirrhitus bimacula",2375106,FALSE,68,44
"Amblycirrhitus earnshawi","Amblycirrhitus earnshawi",2375110,FALSE,1,1
"Amblycirrhitus pinos","Amblycirrhitus pinos",2375113,FALSE,570,159
"Amblyeleotris fasciata","Amblyeleotris fasciata",2378840,FALSE,53,37
"Amblyeleotris guttata","Amblyeleotris guttata",2378829,FALSE,241,152
"Amblyeleotris gymnocephala","Amblyeleotris gymnocephala",2378826,FALSE,71,33
"Amblyeleotris japonica","Amblyeleotris japonica",2378820,FALSE,10,6
"Amblyeleotris periophthalma","Amblyeleotris periophthalma",2378802,FALSE,103,67
"Amblyeleotris steinitzi","Amblyeleotris steinitzi",2378812,FALSE,316,192
"Amblyeleotris sungami","Amblyeleotris sungami",2378847,FALSE,5,2
"Amblyeleotris wheeleri","Amblyeleotris wheeleri",2378853,FALSE,214,143
"Amblyglyphidodon aureus","Amblyglyphidodon aureus",2398497,FALSE,600,279
"Amblyglyphidodon batunaorum","Amblyglyphidodon batunaorum",11695307,FALSE,21,21
"Amblyglyphidodon curacao","Amblyglyphidodon curacao",2398488,FALSE,3691,434
"Amblyglyphidodon flavilatus","Amblyglyphidodon flavilatus",2398501,FALSE,71,38
"Amblyglyphidodon indicus","Amblyglyphidodon indicus",2398510,FALSE,264,88
"Amblyglyphidodon leucogaster","Amblyglyphidodon leucogaster",2398513,FALSE,1682,264
"Amblyglyphidodon melanopterus","Amblyglyphidodon melanopterus",2398502,FALSE,164,25
"Amblyglyphidodon orbicularis","Amblyglyphidodon orbicularis",2398511,FALSE,92,50
"Amblyglyphidodon ternatensis","Amblyglyphidodon ternatensis",2398503,FALSE,26,14
"Amblygobius buanensis","Amblygobius buanensis",2378302,FALSE,7,4
"Amblygobius bynoensis","Amblygobius bynoensis",2378311,FALSE,12,11
"Amblygobius decussatus","Amblygobius decussatus",2378282,FALSE,199,89
"Amblygobius nocturnus","Amblygobius nocturnus",2378279,FALSE,102,66
"Amblygobius phalaena","Amblygobius phalaena",2378306,FALSE,944,335
"Amblyrhynchote honckenii","Amblyrhynchote honckenii",9312668,FALSE,79,39
"Ammodytes tobianus","Ammodytes tobianus",2389991,FALSE,3086,718
"Amphichaetodon howensis","Amphichaetodon howensis",2385679,FALSE,116,33
"Amphichthys cryptocentrus","Amphichthys cryptocentrus",2350839,FALSE,16,8
"Amphiprion akallopisos","Amphiprion akallopisos",5212090,FALSE,209,90
"Amphiprion akindynos","Amphiprion akindynos",5212068,FALSE,1146,185
"Amphiprion allardi","Amphiprion allardi",5212110,FALSE,135,47
"Amphiprion bicinctus","Amphiprion bicinctus",5212077,FALSE,633,116
"Amphiprion chrysopterus","Amphiprion chrysopterus",5212076,FALSE,723,257
"Amphiprion clarkii","Amphiprion clarkii",5212081,FALSE,1516,599
"Amphiprion ephippium","Amphiprion ephippium",5212057,FALSE,38,18
"Amphiprion frenatus","Amphiprion frenatus",5212111,FALSE,276,129
"Amphiprion fuscocaudatus","Amphiprion fuscocaudatus",5212056,FALSE,10,9
"Amphiprion latezonatus","Amphiprion latezonatus",5212078,FALSE,101,19
"Amphiprion leucokranos","Amphiprion leucokranos",5212079,FALSE,20,16
"Amphiprion mccullochi","Amphiprion mccullochi",5212109,FALSE,170,6
"Amphiprion melanopus","Amphiprion melanopus",5212069,FALSE,929,270
"Amphiprion nigripes","Amphiprion nigripes",5212055,FALSE,142,64
"Amphiprion ocellaris","Amphiprion ocellaris",5212106,FALSE,877,319
"Amphiprion percula","Amphiprion percula",5212094,FALSE,272,142
"Amphiprion perideraion","Amphiprion perideraion",5212059,FALSE,817,353
"Amphiprion rubrocinctus","Amphiprion rubrocinctus",5212051,FALSE,56,23
"Amphiprion sandaracinos","Amphiprion sandaracinos",5212089,FALSE,186,110
"Anampses caeruleopunctatus","Anampses caeruleopunctatus",2383466,FALSE,1452,326
"Anampses cuvier","Anampses cuvier",2383461,FALSE,851,122
"Anampses elegans","Anampses elegans",2383486,FALSE,325,30
"Anampses femininus","Anampses femininus",2383485,FALSE,121,30
"Anampses geographicus","Anampses geographicus",2383474,FALSE,360,105
"Anampses lennardi","Anampses lennardi",2383480,FALSE,289,151
"Anampses lineatus","Anampses lineatus",2383476,FALSE,66,32
"Anampses melanurus","Anampses melanurus",8383816,FALSE,239,93
"Anampses meleagrides","Anampses meleagrides",2383481,FALSE,579,269
"Anampses neoguinaicus","Anampses neoguinaicus",2383489,FALSE,737,206
"Anampses twistii","Anampses twistii",2383491,FALSE,1225,279
"Anarrhichthys ocellatus","Anarrhichthys ocellatus",2392219,FALSE,565,270
"Anisotremus caesius","Anisotremus caesius",2382606,FALSE,63,38
"Anisotremus davidsonii","Anisotremus davidsonii",2382611,FALSE,390,53
"Anisotremus interruptus","Anisotremus interruptus",2382602,FALSE,117,74
"Anisotremus scapularis","Anisotremus scapularis",2382608,FALSE,89,22
"Anisotremus surinamensis","Anisotremus surinamensis",2382615,FALSE,1022,189
"Anisotremus taeniatus","Anisotremus taeniatus",2382601,FALSE,116,67
"Anisotremus virginicus","Anisotremus virginicus",2382596,FALSE,7253,366
"Anoplocapros amygdaloides","Anoplocapros amygdaloides",2408014,FALSE,218,49
"Anoplocapros inermis","Anoplocapros inermis",2408010,FALSE,1807,180
"Anoplocapros lenticularis","Anoplocapros lenticularis",2408015,FALSE,602,318
"Anyperodon leucogrammicus","Anyperodon leucogrammicus",2387816,FALSE,430,253
"Aphareus furca","Aphareus furca",5209911,FALSE,4145,566
"Aphareus rutilans","Aphareus rutilans",5209907,FALSE,81,51
"Aploactisoma milesii","Aploactisoma milesii",2336964,FALSE,168,26
"Aplodactylus arctidens","Aplodactylus arctidens",2394719,FALSE,934,215
"Aplodactylus etheridgii","Aplodactylus etheridgii",2394717,FALSE,159,30
"Aplodactylus lophodon","Aplodactylus lophodon",2394713,FALSE,1258,94
"Aplodactylus westralis","Aplodactylus westralis",2394720,FALSE,55,30
"Apogon atradorsatus","Apogon atradorsatus",5211623,FALSE,128,34
"Apogon atricaudus","Apogon atricaudus",5211572,FALSE,18,15
"Apogon binotatus","Apogon binotatus",5211786,FALSE,183,52
"Apogon dovii","Apogon dovii",7977144,FALSE,55,29
"Apogon imberbis","Apogon imberbis",5211775,FALSE,3063,426
"Apogon lachneri","Apogon lachneri",5211678,FALSE,28,20
"Apogon maculatus","Apogon maculatus",5211761,FALSE,334,102
"Apogon pacificus","Apogon pacificus",5211804,FALSE,128,41
"Apogon retrosella","Apogon retrosella",5211603,FALSE,92,32
"Apogon townsendi","Apogon townsendi",5211780,FALSE,133,54
"Apogonichthyoides timorensis","Apogonichthyoides timorensis",5962047,FALSE,9,8
"Apolemichthys trimaculatus","Apolemichthys trimaculatus",2396564,FALSE,808,275
"Aprion virescens","Aprion virescens",2385226,FALSE,2788,639
"Aracana aurita","Aracana aurita",2408028,FALSE,1336,489
"Aracana ornata","Aracana ornata",2408032,FALSE,537,199
"Archamia bleekeri","Archamia bleekeri",2397400,FALSE,8,8
"Arcos poecilophthalmos","Arcos poecilophthalmos",2411349,FALSE,1,1
"Arenigobius frenatus","Arenigobius frenatus",2379315,FALSE,149,23
"Argyrosomus hololepidotus","Argyrosomus hololepidotus",5212442,FALSE,548,196
"Argyrosomus japonicus","Argyrosomus japonicus",5212440,FALSE,21758,174
"Arothron caeruleopunctatus","Arothron caeruleopunctatus",2407361,FALSE,133,98
"Arothron diadematus","Arothron diadematus",2407403,FALSE,340,84
"Arothron hispidus","Arothron hispidus",2407378,FALSE,2169,844
"Arothron inconditus","Arothron inconditus",2407399,FALSE,18,16
"Arothron manilensis","Arothron manilensis",2407348,FALSE,390,157
"Arothron mappa","Arothron mappa",2407375,FALSE,436,218
"Arothron meleagris","Arothron meleagris",2407418,FALSE,1647,474
"Arothron nigropunctatus","Arothron nigropunctatus",2407394,FALSE,1302,592
"Arothron stellatus","Arothron stellatus",2407362,FALSE,865,472
"Arripis georgiana","Arripis georgiana",2380577,FALSE,1,1
"Arripis trutta","Arripis trutta",2380565,FALSE,3973,920
"Arripis truttacea","Arripis truttacea",2380580,FALSE,323,102
"Arripis xylabion","Arripis xylabion",2380579,FALSE,17,6
"Artedius harringtoni","Artedius harringtoni",2333963,FALSE,291,60
"Aspasmogaster tasmaniensis","Aspasmogaster tasmaniensis",2411599,FALSE,43,22
"Aspidontus dussumieri","Aspidontus dussumieri",2395719,FALSE,117,55
"Aspidontus taeniatus","Aspidontus taeniatus",2395713,FALSE,241,130
"Assessor flavissimus","Assessor flavissimus",2389770,FALSE,86,38
"Assessor macneilli","Assessor macneilli",2389771,FALSE,283,98
"Assessor randalli","Assessor randalli",2389773,FALSE,6,5
"Assiculus punctatus","Assiculus punctatus",2381596,FALSE,4,3
"Asterropteryx striata","Asterropteryx striata",2378141,FALSE,48,34
"Atherina hepsetus","Atherina hepsetus",2411943,FALSE,197,106
"Atherina presbyter","Atherina presbyter",2411945,FALSE,3225,303
"Atherinomorus vaigiensis","Atherinomorus vaigiensis",2411855,FALSE,286,28
"Atractoscion aequidens","Atractoscion aequidens",2400366,FALSE,138,100
"Atrosalarias holomelas","Atrosalarias holomelas",5961991,FALSE,117,57
"Atule mate","Atule mate",2390522,FALSE,996,586
"Atypichthys latus","Atypichthys latus",2381269,FALSE,186,34
"Atypichthys strigatus","Atypichthys strigatus",2381270,FALSE,2917,251
"Aulacocephalus temminckii","Aulacocephalus temminckii",5210151,FALSE,44,26
"Aulorhynchus flavidus","Aulorhynchus flavidus",2356481,FALSE,144,57
"Austrolabrus maculatus","Austrolabrus maculatus",2383954,FALSE,1690,192
"Axoclinus cocoensis","Axoclinus cocoensis",2392842,FALSE,4,2
"Axoclinus lucillae","Axoclinus lucillae",2392845,FALSE,17,11
"Axoclinus multicinctus","Axoclinus multicinctus",2392847,FALSE,1,1
"Axoclinus rubinoffi","Axoclinus rubinoffi",2392846,FALSE,1,1
"Azurina eupalama","Azurina eupalama",2399200,FALSE,1,1
"Balistapus undulatus","Balistapus undulatus",2407167,FALSE,6270,854
"Balistes capriscus","Balistes capriscus",2407107,FALSE,2555,1076
"Balistes polylepis","Balistes polylepis",2407118,FALSE,453,219
"Balistes punctatus","Balistes punctatus",2407121,FALSE,70,67
"Balistes vetula","Balistes vetula",2407103,FALSE,1034,317
"Balistoides conspicillum","Balistoides conspicillum",2407129,FALSE,1121,605
"Balistoides viridescens","Balistoides viridescens",2407133,FALSE,2096,733
"Bathygobius krefftii","Bathygobius krefftii",2377106,FALSE,277,49
"Bathygobius lineatus","Bathygobius lineatus",2377085,FALSE,67,24
"Bathystethus cultratus","Bathystethus cultratus",2381250,FALSE,16,11
"Batrachoides boulengeri","Batrachoides boulengeri",5203932,FALSE,1,1
"Belone belone","Belone belone",2369178,FALSE,4926,563
"Belonoperca chabanaudi","Belonoperca chabanaudi",2387698,FALSE,87,71
"Blenniella chrysospilos","Blenniella chrysospilos",2395905,FALSE,104,76
"Bodianus albotaeniatus","Bodianus albotaeniatus",5788085,FALSE,2605,200
"Bodianus anthioides","Bodianus anthioides",5209716,FALSE,303,123
"Bodianus axillaris","Bodianus axillaris",5209666,FALSE,1552,479
"Bodianus bilunulatus","Bodianus bilunulatus",5209697,FALSE,329,132
"Bodianus diana","Bodianus diana",5209719,FALSE,320,155
"Bodianus dictynna","Bodianus dictynna",5209723,FALSE,253,130
"Bodianus diplotaenia","Bodianus diplotaenia",5209721,FALSE,1289,232
"Bodianus eclancheri","Bodianus eclancheri",5209724,FALSE,65,20
"Bodianus frenchii","Bodianus frenchii",5209673,FALSE,549,103
"Bodianus loxozonus","Bodianus loxozonus",5209683,FALSE,636,163
"Bodianus mesothorax","Bodianus mesothorax",5209690,FALSE,468,261
"Bodianus perditio","Bodianus perditio",5209711,FALSE,358,172
"Bodianus rufus","Bodianus rufus",5209687,FALSE,7297,375
"Bodianus scrofa","Bodianus scrofa",5209705,FALSE,176,64
"Bodianus unimaculatus","Bodianus unimaculatus",5209675,FALSE,333,81
"Bolbometopon muricatum","Bolbometopon muricatum",2393443,FALSE,487,275
"Boops boops","Boops boops",5210955,FALSE,3753,626
"Boopsoidea inornata","Boopsoidea inornata",2392688,FALSE,193,40
"Boreogadus saida","Boreogadus saida",2415752,FALSE,10022,4763
"Bothragonus occidentalis","Bothragonus occidentalis",2337161,FALSE,1,1
"Bovichtus angustifrons","Bovichtus angustifrons",2398020,FALSE,416,128
"Bovichtus argentinus","Bovichtus argentinus",2398035,FALSE,15,11
"Brachaluteres jacksonianus","Brachaluteres jacksonianus",2406792,FALSE,1492,120
"Brachionichthys hirsutus","Brachionichthys hirsutus",9496661,FALSE,164,15
"Brachyistius frenatus","Brachyistius frenatus",2389277,FALSE,297,57
"Bryaninops amplus","Bryaninops amplus",2375634,FALSE,51,36
"Bryaninops erythrops","Bryaninops erythrops",2375626,FALSE,8,7
"Bryaninops natans","Bryaninops natans",2375632,FALSE,94,71
"Bryaninops nexus","Bryaninops nexus",2375623,FALSE,1,1
"Bryaninops yongei","Bryaninops yongei",2375637,FALSE,239,141
"Caesio caerulaurea","Caesio caerulaurea",2374779,FALSE,797,397
"Caesio cuning","Caesio cuning",2374789,FALSE,1045,416
"Caesio lunaris","Caesio lunaris",2374772,FALSE,321,180
"Caesio striata","Caesio striata",2374786,FALSE,72,37
"Caesio suevica","Caesio suevica",2374777,FALSE,97,39
"Caesio teres","Caesio teres",2374798,FALSE,1274,386
"Caesio varilineata","Caesio varilineata",2374775,FALSE,128,33
"Caesio xanthonota","Caesio xanthonota",2374795,FALSE,131,76
"Caesioperca lepidoptera","Caesioperca lepidoptera",2388652,FALSE,1068,426
"Caesioperca rasor","Caesioperca rasor",2388648,FALSE,1060,200
"Caesioscorpis theagenes","Caesioscorpis theagenes",2388679,FALSE,70,16
"Caffrogobius nudiceps","Caffrogobius nudiceps",2376940,FALSE,101,25
"Calamus bajonado","Calamus bajonado",5211005,FALSE,303,98
"Calamus brachysomus","Calamus brachysomus",5211000,FALSE,72,51
"Calamus calamus","Calamus calamus",5210995,FALSE,7716,184
"Calamus pennatula","Calamus pennatula",5211001,FALSE,150,60
"Calamus taurinus","Calamus taurinus",5211006,FALSE,10,8
"Callanthias australis","Callanthias australis",2384674,FALSE,527,211
"Calliclinus geniguttatus","Calliclinus geniguttatus",2389576,FALSE,11,9
"Callionymus comptus","Callionymus comptus",2386942,FALSE,3,3
"Callionymus lyra","Callionymus lyra",2386906,FALSE,9474,1391
"Calloplesiops altivelis","Calloplesiops altivelis",2389714,FALSE,67,50
"Calotomus carolinus","Calotomus carolinus",2393870,FALSE,1904,404
"Calotomus japonicus","Calotomus japonicus",2393858,FALSE,23,9
"Calotomus spinidens","Calotomus spinidens",2393855,FALSE,331,39
"Calotomus viridescens","Calotomus viridescens",2393854,FALSE,124,44
"Cantherhines dumerilii","Cantherhines dumerilii",2406972,FALSE,1746,424
"Cantherhines fronticinctus","Cantherhines fronticinctus",2407001,FALSE,68,50
"Cantherhines longicaudus","Cantherhines longicaudus",2406947,FALSE,4,3
"Cantherhines macrocerus","Cantherhines macrocerus",2406957,FALSE,902,235
"Cantherhines pardalis","Cantherhines pardalis",2406982,FALSE,1401,367
"Cantherhines pullus","Cantherhines pullus",2406961,FALSE,1158,274
"Cantherhines sandwichiensis","Cantherhines sandwichiensis",2406996,FALSE,435,140
"Cantheschenia grandisquamis","Cantheschenia grandisquamis",2406942,FALSE,73,19
"Canthidermis maculata","Canthidermis maculata",2407067,FALSE,874,804
"Canthidermis sufflamen","Canthidermis sufflamen",2407087,FALSE,833,190
"Canthigaster amboinensis","Canthigaster amboinensis",2407681,FALSE,891,246
"Canthigaster axiologus","Canthigaster axiologus",2407729,FALSE,68,44
"Canthigaster bennetti","Canthigaster bennetti",2407713,FALSE,394,178
"Canthigaster callisterna","Canthigaster callisterna",2407725,FALSE,339,60
"Canthigaster capistrata","Canthigaster capistrata",2407707,FALSE,339,67
"Canthigaster coronata","Canthigaster coronata",2407727,FALSE,576,161
"Canthigaster cyanetron","Canthigaster cyanetron",2407709,FALSE,1,1
"Canthigaster epilampra","Canthigaster epilampra",2407696,FALSE,64,42
"Canthigaster figueiredoi","Canthigaster figueiredoi",2407732,FALSE,13,10
"Canthigaster jactator","Canthigaster jactator",2407656,FALSE,2689,203
"Canthigaster janthinoptera","Canthigaster janthinoptera",2407658,FALSE,272,166
"Canthigaster marquesensis","Canthigaster marquesensis",2407655,FALSE,1,1
"Canthigaster papua","Canthigaster papua",2407703,FALSE,327,154
"Canthigaster punctatissima","Canthigaster punctatissima",2407649,FALSE,535,145
"Canthigaster rapaensis","Canthigaster rapaensis",2407679,FALSE,1,1
"Canthigaster rivulata","Canthigaster rivulata",2407667,FALSE,190,138
"Canthigaster rostrata","Canthigaster rostrata",2407665,FALSE,9949,386
"Canthigaster sanctaehelenae","Canthigaster sanctaehelenae",2407663,FALSE,1,1
"Canthigaster smithae","Canthigaster smithae",2407644,FALSE,59,29
"Canthigaster valentini","Canthigaster valentini",2407698,FALSE,1610,559
"Caprodon longimanus","Caprodon longimanus",2388115,FALSE,373,134
"Caracanthus maculatus","Caracanthus maculatus",2336942,FALSE,472,93
"Caracanthus typicus","Caracanthus typicus",2336951,FALSE,93,59
"Caracanthus unipinna","Caracanthus unipinna",2336944,FALSE,76,22
"Carangoides bajad","Carangoides bajad",5210537,FALSE,81,49
"Carangoides bartholomaei","Caranx bartholomaei",5210553,TRUE,1982,302
"Carangoides chrysophrys","Carangoides chrysophrys",5210557,FALSE,991,504
"Carangoides ferdau","Carangoides ferdau",5210560,FALSE,1547,283
"Carangoides fulvoguttatus","Carangoides fulvoguttatus",5210529,FALSE,3221,460
"Carangoides gymnostethus","Carangoides gymnostethus",5210542,FALSE,1160,485
"Carangoides orthogrammus","Ferdauia orthogrammus",5210572,TRUE,891,312
"Carangoides plagiotaenia","Carangoides plagiotaenia",5210536,FALSE,135,65
"Caranx caballus","Caranx caballus",2390774,FALSE,255,106
"Caranx caninus","Caranx caninus",2390813,FALSE,163,96
"Caranx crysos","Caranx crysos",2390762,FALSE,2646,1101
"Caranx ignobilis","Caranx ignobilis",2390805,FALSE,5093,816
"Caranx lugubris","Caranx lugubris",2390836,FALSE,1064,299
"Caranx melampygus","Caranx melampygus",2390750,FALSE,5192,1019
"Caranx papuensis","Caranx papuensis",2390831,FALSE,642,296
"Caranx sexfasciatus","Caranx sexfasciatus",2390776,FALSE,1089,561
"Caulolatilus princeps","Caulolatilus princeps",2389841,FALSE,112,53
"Centroberyx affinis","Centroberyx affinis",2356624,FALSE,2381,568
"Centroberyx gerrardi","Centroberyx gerrardi",2356626,FALSE,1992,534
"Centroberyx lineatus","Centroberyx lineatus",2356631,FALSE,947,568
"Centrogenys vaigiensis","Centrogenys vaigiensis",2396363,FALSE,76,50
"Centrolabrus exoletus","Centrolabrus exoletus",2383720,FALSE,3773,555
"Centrolabrus melanocercus","Centrolabrus melanocercus",9632251,FALSE,939,119
"Centropogon australis","Centropogon australis",2335165,FALSE,1091,106
"Centropyge acanthops","Centropyge acanthops",2396533,FALSE,38,24
"Centropyge argi","Centropyge argi",2396546,FALSE,155,74
"Centropyge bicolor","Centropyge bicolor",2396484,FALSE,950,347
"Centropyge bispinosa","Centropyge bispinosa",2396495,FALSE,1594,314
"Centropyge eibli","Centropyge eibli",2396518,FALSE,114,46
"Centropyge ferrugata","Centropyge ferrugata",2396542,FALSE,15,11
"Centropyge fisheri","Centropyge fisheri",2396483,FALSE,279,143
"Centropyge flavissima","Centropyge flavissima",2396499,FALSE,4772,332
"Centropyge heraldi","Centropyge heraldi",2396551,FALSE,649,136
"Centropyge hotumatua","Centropyge hotumatua",2396486,FALSE,20,5
"Centropyge joculator","Centropyge joculator",2396526,FALSE,16,5
"Centropyge loriculus","Centropyge loriculus",2396548,FALSE,1756,171
"Centropyge multispinis","Centropyge multispinis",2396554,FALSE,195,102
"Centropyge nox","Centropyge nox",2396527,FALSE,51,36
"Centropyge tibicen","Centropyge tibicen",2396505,FALSE,604,192
"Cephalopholis argus","Cephalopholis argus",2388891,FALSE,6511,957
"Cephalopholis boenak","Cephalopholis boenak",2388825,FALSE,831,368
"Cephalopholis cruentata","Cephalopholis cruentata",2388866,FALSE,8843,374
"Cephalopholis cyanostigma","Cephalopholis cyanostigma",2388876,FALSE,1314,298
"Cephalopholis formosa","Cephalopholis formosa",2388839,FALSE,99,63
"Cephalopholis fulva","Cephalopholis fulva",2388809,FALSE,2155,304
"Cephalopholis hemistiktos","Cephalopholis hemistiktos",2388914,FALSE,125,74
"Cephalopholis leopardus","Cephalopholis leopardus",2388841,FALSE,454,165
"Cephalopholis microprion","Cephalopholis microprion",2388881,FALSE,219,93
"Cephalopholis miniata","Cephalopholis miniata",2388916,FALSE,1412,436
"Cephalopholis panamensis","Cephalopholis panamensis",2388821,FALSE,728,162
"Cephalopholis sexmaculata","Cephalopholis sexmaculata",2388884,FALSE,201,132
"Cephalopholis sonnerati","Cephalopholis sonnerati",2388927,FALSE,205,87
"Cephalopholis spiloparaea","Cephalopholis spiloparaea",2388857,FALSE,282,119
"Cephalopholis urodeta","Cephalopholis urodeta",2388937,FALSE,5323,620
